entity1,entity2,edge_thickness,edge_weight
25613,43254,1,0.45249056816101074
25613,72861,1,0.1118815541267395
25613,507970,1,0.2753854990005493
25613,1271962,1,0.0
25613,4848272,3,0.3708927035331726
43254,72861,1,0.0
43254,507970,1,0.01824939250946045
43254,1271962,1,0.0
43254,4848272,1,0.19674116373062134
72861,507970,1,0.058222413063049316
72861,1271962,1,0.0
72861,4848272,1,0.12186920642852783
507970,1271962,1,0.0
507970,4848272,1,0.4669913053512573
1271962,4848272,1,0.0
7201,10861,2,0.0
7201,58790,2,0.4920840859413147
7201,146699,2,0.5495787858963013
7201,260979,6,0.4968869090080261
7201,1197501,2,0.6120836138725281
7201,1755838,4,0.0
7201,3258683,2,0.0
7201,3276812,2,0.5586912631988525
7201,4848272,4,0.3248624801635742
7201,16927210,4,0.0
7201,18935732,2,0.30107593536376953
7201,45676768,2,0.0
10861,58790,3,0.0
10861,146699,2,0.0
10861,260979,11,0.0
10861,1197501,2,0.0
10861,1755838,4,0.0
10861,3258683,2,0.0
10861,3276812,8,0.3816324472427368
10861,4848272,8,0.0
10861,16927210,5,0.0
10861,18935732,2,0.054293692111968994
10861,45676768,2,0.0
58790,146699,2,0.553810715675354
58790,260979,14,0.7422272562980652
58790,1197501,2,0.34126847982406616
58790,1755838,4,0.0
58790,3258683,2,0.0
58790,3276812,5,0.5404250025749207
58790,4848272,11,0.24334973096847534
58790,16927210,16,0.2761414647102356
58790,18935732,3,0.28313523530960083
58790,45676768,5,0.0
146699,260979,6,0.5238792896270752
146699,1197501,2,0.47292351722717285
146699,1755838,4,0.0
146699,3258683,2,0.0
146699,3276812,2,0.5660881996154785
146699,4848272,2,0.0
146699,16927210,4,0.0
146699,18935732,2,0.22229480743408203
146699,45676768,2,0.0
260979,260979,22,1.0
260979,1197501,6,0.3871941566467285
260979,1755838,12,0.0
260979,3258683,6,0.0
260979,3276812,17,0.5574784278869629
260979,4848272,24,0.2683417797088623
260979,16927210,30,0.0
260979,18935732,7,0.27167391777038574
260979,45676768,6,0.0
1197501,1755838,4,0.0
1197501,3258683,2,0.0
1197501,3276812,2,0.501777172088623
1197501,4848272,2,0.0
1197501,16927210,4,0.0
1197501,18935732,2,0.33701789379119873
1197501,45676768,2,0.0
1755838,1755838,2,1.0
1755838,3258683,4,0.0
1755838,3276812,4,0.0
1755838,4848272,4,0.0
1755838,16927210,8,0.0
1755838,18935732,4,0.0
1755838,45676768,4,0.0
3258683,3276812,2,0.0
3258683,4848272,2,0.0
3258683,16927210,4,0.0
3258683,18935732,2,0.0
3258683,45676768,2,0.0
3276812,4848272,12,0.2028445601463318
3276812,16927210,9,0.0
3276812,18935732,2,0.24693173170089722
3276812,45676768,2,0.0
4848272,16927210,18,0.24654996395111084
4848272,18935732,5,0.3799404501914978
4848272,45676768,5,0.0
16927210,16927210,13,1.0
16927210,18935732,7,0.2953076958656311
16927210,45676768,8,0.0
18935732,45676768,2,0.0
4848272,4848272,42,1.0
4848272,18834674,1,0.2452782392501831
17556,288379,1,0.32040053606033325
17556,4848272,1,0.11847710609436035
288379,4848272,1,0.35930126905441284
92903,4848272,1,0.3040916323661804
765,765,21,1.0
765,7959,6,0.43270307779312134
765,9087,6,0.0
765,11542,6,0.4218944311141968
765,21748,6,0.34852975606918335
765,22954,6,0.3395147919654846
765,24113,6,0.3902878165245056
765,28151,36,0.39146310091018677
765,28791,6,0.3229200839996338
765,32070,6,0.42936646938323975
765,32344,6,0.0
765,49139,6,0.3995460271835327
765,51490,6,0.49270033836364746
765,51885,12,0.450070321559906
765,53451,6,0.2636108994483948
765,70603,6,0.2838491201400757
765,77697,6,0.5994223356246948
765,99860,12,0.32502996921539307
765,102883,6,0.4013686180114746
765,105070,6,0.13994985818862915
765,128027,6,0.0
765,145166,6,0.22374343872070312
765,147885,6,0.3877553343772888
765,153149,15,0.3358480930328369
765,156371,6,0.26911354064941406
765,168592,6,0.49544191360473633
765,170653,6,0.42833036184310913
765,191145,6,0.43527811765670776
765,219599,6,0.5450541973114014
765,256024,15,0.6934199333190918
765,256025,6,0.7176359295845032
765,265752,12,0.19853228330612183
765,317524,6,0.31234633922576904
765,337689,6,0.3196481466293335
765,369040,6,0.0
765,519775,6,0.39062076807022095
765,706186,6,0.7461692094802856
